epoch,step,train_loss,gen_mse,sharpness,eig_1,eig_2,eig_3,eig_4,eig_5,eig_6,layer_frob_1,layer_frob_2,layer_frob_3,layer_frob_4
70,70,0.33887386322021484,64.96686553955078,112.29722595214844,1742.2640380859375,587.2761840820312,88.83003997802734,43.58925247192383,8.416879653930664,3.5239222049713135,62.14707946777344,1236.206298828125,332.273681640625,237.3782196044922
75,75,0.2820146083831787,65.06224822998047,120.63629150390625,1878.01904296875,633.0380249023438,96.20938873291016,47.569828033447266,8.996598243713379,3.9151248931884766,73.2520980834961,1368.3070068359375,341.23089599609375,232.48971557617188
80,80,0.23520585894584656,65.15653228759766,128.73223876953125,2010.7586669921875,677.0606689453125,103.45989990234375,51.484439849853516,9.555818557739258,4.302034854888916,84.86967468261719,1496.2281494140625,349.7851257324219,228.36953735351562
85,85,0.19779084622859955,65.2473373413086,136.4213409423828,2137.59716796875,718.5540771484375,110.43202209472656,55.232933044433594,10.083647727966309,4.672961711883545,96.6952133178711,1617.2728271484375,357.87591552734375,224.9367218017578
90,90,0.1686556339263916,65.33245849609375,143.57968139648438,2256.266845703125,756.931884765625,117.0043716430664,58.734004974365234,10.571901321411133,5.017542362213135,108.43582153320312,1729.3927001953125,365.46612548828125,222.10421752929688
95,95,0.1464293897151947,65.41015625,150.1307830810547,2365.27783203125,791.846435546875,123.09314727783203,61.93246841430664,11.015872955322266,5.327723503112793,119.84342956542969,1831.31640625,372.54608154296875,219.7847442626953
100,100,0.12968800961971283,65.47931671142578,156.04525756835938,2463.939453125,823.1858520507812,128.65451049804688,64.80094146728516,11.414420127868652,5.598499298095703,130.73577880859375,1922.545654296875,379.1324768066406,217.8953094482422
105,105,0.11711382120847702,65.53948211669922,161.33375549316406,2552.26513671875,851.0390014648438,133.68101501464844,67.33736419677734,11.769627571105957,5.827889442443848,141.0022430419922,2003.2491455078125,385.2626953125,216.36077880859375
110,110,0.10758990049362183,65.59076690673828,166.03646850585938,2630.805419921875,875.6431274414062,138.1939697265625,69.55928802490234,12.08584213256836,6.016515731811523,150.59783935546875,2074.08935546875,390.9875793457031,215.1154327392578
115,115,0.10023295879364014,65.63374328613281,170.2122039794922,2700.461669921875,897.3276977539062,142.23439025878906,71.49726104736328,12.368776321411133,6.1670637130737305,159.5297393798828,2136.041748046875,396.36419677734375,214.10348510742188
120,120,0.09438256919384003,65.6692123413086,173.92831420898438,2762.315185546875,916.4649658203125,145.85426330566406,73.18860626220703,12.62455940246582,6.283437728881836,167.8410186767578,2190.23095703125,401.44964599609375,213.27853393554688
125,125,0.08956687152385712,65.69816589355469,177.2533416748047,2817.4931640625,933.4313354492188,149.10948181152344,74.67247772216797,12.85936164855957,6.370321273803711,175.59596252441406,2237.804931640625,406.2970275878906,212.60275268554688
130,130,0.08546071499586105,65.72157287597656,180.25184631347656,2867.075927734375,948.5821533203125,152.0550994873047,75.98619079589844,13.078485488891602,6.4322943687438965,182.8679962158203,2279.85107421875,410.95318603515625,212.04571533203125
135,135,0.081846684217453,65.7403793334961,182.98175048828125,2912.04296875,962.2365112304688,154.7419891357422,77.16343688964844,13.286540031433105,6.473989009857178,189.7311553955078,2317.347412109375,415.4572448730469,211.58302307128906
